doesn't_answer	0	1	2
openli_took_issu	0	1	2
and_neither_do	0	1	1
but_separ	0	1	1
we_wouldn't_exist	0	1	1
no_patriot_palestinian	0	1	1
made_virtual	0	1	1
person_opinion_be	0	1	1
but_pai_heed	0	1	1
should_not_follow	0	1	2
aol_would	0	1	1
have_not_complet	0	1	1
allow_that_they'r	0	1	1
by_now_it	0	1	1
cannot_last	0	1	2
should_have_have	0	1	1
would_never_forget	0	1	2
could_also_not	0	1	1
when_thei_aim	0	1	1
describ_powell'_statement	0	1	2
vehement_deni	0	1	2
cannot_possibl	0	1	1
mere_posit_of	0	1	1
have_no_option	0	1	1
who_care	0	1	1
it_be_unpreced	0	1	2
what_be_realli	0	1	2
would_be_meaningless	0	1	2
have_not_brought	0	1	1
i_obvious_can't	0	1	1
if_we_don't	0	1	1
you_would_never	0	1	1
no_on_howev	0	1	1
reveal_that_hi	0	1	2
be_deem_not	0	1	2
you_probabl_don't	0	1	1
do_contempl	0	1	1
consequ_if_our	0	1	2
no_other_countri	0	1	1
be_do_so	0	1	1
cannot_command_the	0	1	1
the_incid_and	0	1	2
don't_believ_thei	0	1	1
intens_legal	0	1	2
or_so_it	0	1	1
disagr_be_also	0	1	2
unequivoc_deni	0	1	1
be_no_secret	0	1	1
could_not_exclud	0	1	1
aren't_well_understood	0	1	2
no_on_no	0	1	1
haven't_said_that	0	1	1
repeat_with_insist	0	1	2
no_patriot	0	1	1
nor_will_mr	0	1	1
can_be_built	0	1	1
yet_rise_temperatur	0	1	2
deni_rig	0	1	1
cannot_steal	0	1	2
must_not_in	0	1	2
think_thi_plan	0	1	2
stanc_oppos_to	0	1	1
undeni	0	1	1
you_dont_want	0	1	2
prove_ineffect	0	1	2
explicitli_stipul	0	1	1
distort_human_right	0	1	2
a_gross_misstat	0	1	4
don't_accept	0	1	2
believ_that_indonesia	0	1	1
the_myth_of	0	1	2
never_calm	0	1	1
distort_human	0	1	2
do_anybodi_believ	0	1	1
openli_took	0	1	2
need_no	0	1	2
do_not_attack	0	1	1
deni_rig_the	0	1	1
have_no_busi	0	1	1
realiz_that_injustic	0	1	1
can_run_but	0	1	2
you_dont	0	1	2
could_howev	0	1	2
should_not_disregard	0	1	1
have_turn_down	0	1	1
not_you_sir	0	1	1
describ_powell'	0	1	2
defiant_stanc_on	0	1	2
disagr_be	0	1	2
an_unaccept_degrad	0	1	2
consid_it_to	0	1	2
therefor_be_not	0	1	1
have_notic_that	0	1	1
repeat_with	0	1	2
but_the_warm	0	1	2
be_not_readi	0	1	2
be_not_dispatch	0	1	1
held_differ_view	0	1	2
have_admit_that	0	1	1
isn't_even	0	1	2
be_an_intern	0	1	1
be_not_meet	0	1	1
cannot_possibl_avoid	0	1	1
it_be_unnecessari	0	1	1
realli_oh	0	1	1
be_not_safe	0	1	1
disbeliev_press_corp	0	1	2
mere_posit	0	1	1
understand_that_our	0	1	1
will_be_near	0	1	1
be_a_twist	0	1	1
find_ourselv_unabl	0	1	2
cluck	0	1	2
but_becaus_there	0	1	1
have_disallow	0	1	1
other_than_that	0	1	1
strongli_object_to	0	1	2
not_out	0	1	1
the_fire_be	0	1	1
no_other_outsid	0	1	1
don't_anticip	0	1	1
can_never_remov	0	1	1
have_disagre	0	1	2
don't_mean	0	1	1
doesn't_accept	0	1	1
cannot_be_entir	0	1	1
no_other_peopl	0	1	1
don't_agre	0	1	1
remain_unconvinc	0	1	1
strongli_object	0	1	2
nobodi_can_feel	0	1	2
subsequ_deni	0	1	1
no_isra_govern	0	1	1
sinc_when	0	1	1
they'r_never	0	1	1
can't_be	0	1	2
with_the_demis	0	1	2
cannot_be_reliev	0	1	2
an_imposs	0	1	2
i_obvious	0	1	1
will_not_free	0	1	1
have_backpedal_from	0	1	1
can't_be_buri	0	1	1
an_imposs_task	0	1	2
not_out_of	0	1	1
be_not_activ	0	1	1
cannot_steal_thi	0	1	2
certainli_be_not	0	1	2
wouldn't_have_the	0	1	1
conclus_believ_that	0	1	2
no_peac	0	1	2
be_declar_unoffici	0	1	1
there_realli_wasn't	0	1	1
feel_no_differ	0	1	1
left_littl_doubt	0	1	1
don't_believ_that	0	1	1
no_but_then	0	1	1
clear_that_we	0	1	1
lack_credibl	0	1	2
no_longer_work	0	1	2
until_all_those	0	1	1
don't_bother	0	1	1
neither_do_we	0	1	1
don't_push	0	1	2
strongli_advis	0	1	1
yet_rise	0	1	2
be_inconsist	0	1	2
cannot_imagin_that	0	1	1
have_forbidden	0	1	1
do_contempl_that	0	1	1
overtur_to_express	0	1	1
cluck_and_shook	0	1	2
never_thought_a	0	1	1
aol_would_never	0	1	1
held_differ	0	1	2
not_too_cool	0	1	1
person_opinion	0	1	1
will_not_last	0	1	1
believ_zimbabwe'_elect	0	1	2
if_we_quit	0	1	1
controversi_and_debat	0	1	1
be_not_oper	0	1	1
but_the_reserv	0	1	1
cluck_and	0	1	2
life_without	0	1	2
onc_again_turn	0	1	2
be_not_convinc	0	1	2
understand_that_we	0	1	1
don't_anticip_ani	0	1	1
aren't_well	0	1	2
made_virtual_no	0	1	1
consequ_if	0	1	2
be_not_right	0	1	1
contrari_to_all	0	1	1
believ_zimbabwe'	0	1	2
but_nobodi_could	0	1	2
if_howev	0	1	2
he_would_under	0	1	1
an_unaccept	0	1	2
don't_agre_with	0	1	1
let_not_jump	0	1	2
can_hardli_be	0	1	2
defiant_stanc	0	1	2
which_clearli	0	1	2
but_pai	0	1	1
don't_think_kellogg	0	1	1
either_the_absenc	0	1	2
li_with_the	0	1	2
given_the_death	0	1	2
have_alwai_deni	0	1	1
be_not_toler	0	1	2
can_do_noth	0	1	2
don't_think_there'	0	1	1
would_not_pose	0	1	2
declar_illeg	0	1	2
posit_of_not	0	1	1
have_notic	0	1	1
cannot_assum	0	1	1
be_not_believ	0	1	1
the_largest_illus	0	1	1
isn't_exactli_clear	0	1	1
feel_no	0	1	1
cannot_wait	0	1	1
isn't_even_the	0	1	2
it_be_thu	0	1	1
would_not_stand	0	1	1
be_neither_veri	0	1	2
do_not_reflect	0	0.875	8
differ_over	0	0.8	5
would_not_recogn	0	0.8	5
do_not_recognis	0	0.8	5
found_no_evid	0	0.75	4
at_no_time	0	0.75	4
without_have_ani	0	0.666666666666667	3
there_be_noth	0	0.666666666666667	6
there_could_be	0	0.666666666666667	3
disagr_with	0	0.666666666666667	3
the_climat_of	0	0.666666666666667	3
factual_inaccur	0	0.666666666666667	6
be_refus	0	0.666666666666667	6
hard_to_believ	0	0.666666666666667	3
li_with	0	0.666666666666667	3
cannot_be_consid	0	0.666666666666667	3
it_be_unrealist	0	0.666666666666667	3
far_from_be	0	0.666666666666667	3
find_ourselv	0	0.666666666666667	3
be_refus_to	0	0.666666666666667	3
can_run	0	0.666666666666667	3
be_not_simpli	0	0.666666666666667	3
do_not_adequ	0	0.666666666666667	3
have_never_tri	0	0.666666666666667	3
nobodi_can	0	0.666666666666667	3
factual_inaccur_and	0	0.666666666666667	6
cannot_accept	0	0.666666666666667	3
no_on_can	0	0.666666666666667	3
believ_be	0	0.666666666666667	3
could_go_on	0	0.666666666666667	3
be_term	0	0.666666666666667	3
instead_of_try	0	0.666666666666667	3
the_myth	0	0.666666666666667	3
cannot_be_rule	0	0.666666666666667	3
don't_get_paid	0	0.666666666666667	3
a_gross	0	0.666666666666667	6
noth_be_done	0	0.666666666666667	3
have_dismiss	0	0.666666666666667	3
can_hardli	0	0.666666666666667	3
but_be_it	0	0.666666666666667	3
be_not_in	0	0.652173913043478	23
found_no	0	0.6	5
at_no	0	0.6	5
do_not_believ	0	0.555555555555556	9
deni_that_the	0	0.5	4
deni_wolfowitz'_remark	0	0.5	2
overtur_to	0	0.5	2
there'_no_question	0	0.5	2
but_nobodi	0	0.5	4
but_the_fact	0	0.5	4
be_not_minor	0	0.5	2
we_don't_wast	0	0.5	2
consid_it	0	0.5	4
left_littl	0	0.5	2
be_not_free	0	0.5	4
no_but	0	0.5	2
refus_to_confirm	0	0.5	2
have_shown_reluct	0	0.5	4
it'_not_go	0	0.5	2
no_isra	0	0.5	2
controversi_and	0	0.5	2
even_though_the	0	0.5	4
deni_wolfowitz'	0	0.5	2
think_thi	0	0.5	4
assur_by_washington	0	0.5	2
be_not_as	0	0.5	2
nor_will	0	0.5	4
have_also_long	0	0.5	2
abandon_of	0	0.5	2
do_anybodi	0	0.5	2
be_not_over	0	0.5	2
be_not_complet	0	0.5	4
turn_down	0	0.5	8
never_again	0	0.5	2
challeng_and	0	0.5	2
don't_think_thei	0	0.5	2
didn't_think_it	0	0.5	2
believ_that_we	0	0.5	2
wouldn't_have	0	0.5	2
will_not_lead	0	0.5	2
not_you	0	0.5	2
have_long_argu	0	0.5	2
never_thought	0	0.5	2
will_be_unabl	0	0.5	4
by_now	0	0.5	2
cannot_sai	0	0.5	2
don't_think_that	0	0.5	2
but_that_doesn't	0	0.5	2
be_inaccur	0	0.5	4
do_not_lie	0	0.5	2
be_no_differ	0	0.5	2
do_not_meet	0	0.5	4
didn't_think	0	0.5	2
will_not_end	0	0.5	2
cannot_imagin	0	0.5	2
do_not_includ	0	0.5	2
should_not_have	0	0.5	4
would_never	0	0.5	8
noth_be	0	0.5	4
don't_get	0	0.5	4
indefinit_refus	0	0.5	2
be_not_just	0	0.5	6
we_don't_need	0	0.5	2
cannot_stand	0	0.5	2
well_thi_be	0	0.5	2
it_almost	0	0.5	2
guarante_taipei	0	0.5	2
brush_asid	0	0.5	2
have_deni	0	0.5	8
guarante_taipei_that	0	0.5	2
but_have_not	0	0.5	2
it_be_unclear	0	0.5	2
babylon_be	0	0.5	2
now_that_it	0	0.5	2
be_deni	0	0.5	4
have_resist	0	0.5	2
be_also_unclear	0	0.5	2
don't_think_we	0	0.5	2
especi_not	0	0.5	2
do_not_agre	0	0.444444444444444	9
be_neither	0	0.444444444444444	9
deni_that	0	0.4	5
certainli_not	0	0.4	5
be_reluct	0	0.4	5
no_on_have	0	0.4	10
be_neither_free	0	0.4	5
there_could	0	0.4	5
refus_to_accept	0	0.4	5
would_not_accept	0	0.4	5
be_not_an	0	0.4	10
certainli_be	0	0.4	5
without_have	0	0.4	5
must_not_be	0	0.4	5
wouldn't_be	0	0.4	5
do_not_conform	0	0.4	5
have_noth_to	0	0.375	8
should_not_be	0	0.375	24
have_noth	0	0.375	8
should_not	0	0.365853658536585	41
have_refus	0	0.357142857142857	14
don't_think	0	0.352941176470588	17
have_admit	0	0.333333333333333	3
deni_by	0	0.333333333333333	3
neither_do	0	0.333333333333333	3
it_be_absolut	0	0.333333333333333	6
cannot_be_us	0	0.333333333333333	3
do_not_consid	0	0.333333333333333	3
don't_believ	0	0.333333333333333	6
refus_to_allow	0	0.333333333333333	3
it'_not_just	0	0.333333333333333	3
assur_by	0	0.333333333333333	3
have_no_right	0	0.333333333333333	9
the_illus	0	0.333333333333333	3
do_not_seem	0	0.333333333333333	3
have_never_have	0	0.333333333333333	3
switch_diplomat_recognit	0	0.333333333333333	3
have_not_given	0	0.333333333333333	6
a_row	0	0.333333333333333	3
not_with_the	0	0.333333333333333	3
it_be_decid	0	0.333333333333333	3
not_subject	0	0.333333333333333	3
will_not_chang	0	0.333333333333333	3
not_subject_to	0	0.333333333333333	3
have_neither	0	0.333333333333333	3
well_thi	0	0.333333333333333	3
babylon	0	0.333333333333333	3
could_go	0	0.285714285714286	7
have_yet_to	0	0.285714285714286	7
it_just	0	0.285714285714286	7
no_other	0	0.272727272727273	11
refus_to	0	0.268817204301075	93
brush	0	0.25	4
but_we_don't	0	0.25	4
could_also	0	0.25	4
can_no_longer	0	0.25	4
be_unclear	0	0.25	4
the_massiv	0	0.25	8
switch_diplomat	0	0.25	4
be_ignor	0	0.25	4
be_unaccept	0	0.25	8
it_be_almost	0	0.25	4
do_not_follow	0	0.25	4
could_not_be	0	0.25	16
have_refus_to	0	0.25	12
not_free_and	0	0.222222222222222	9
view_to	0	0.222222222222222	9
thi_be_why	0	0.222222222222222	9
the_incid	0	0.222222222222222	9
nobodi	0	0.214285714285714	14
it_will_not	0	0.214285714285714	14
must_not	0	0.210526315789474	19
need_not	0	0.2	5
not_too	0	0.2	5
be_not_for	0	0.2	5
it_be_now	0	0.2	5
not_free	0	0.2	10
have_plai	0	0.2	5
be_no_longer	0	0.2	15
differ_between_the	0	0.2	5
but_we_have	0	0.2	5
isn't	0	0.2	15
be_not_known	0	0.2	5
the_fire	0	0.2	5
be_not_a	0.0333333333333333	0.233333333333333	30
do_not_mean	0	0.2	10
don't_think_it	0	0.2	5
allow_that	0	0.2	5
would_not_be	0	0.2	15
need_not_be	0	0.2	5
cannot_be	0	0.191489361702128	47
have_reject	0	0.1875	16
cannot	0	0.18705035971223	139
be_not_on	0	0.181818181818182	11
it_be_imposs	0	0.181818181818182	11
have_yet	0	0.181818181818182	11
it_would_not	0	0.181818181818182	11
there_be_no	0.00900900900900901	0.189189189189189	111
it'_not	0	0.176470588235294	17
there_will_be	0	0.166666666666667	12
the_mexican	0	0.166666666666667	6
or_so	0	0.166666666666667	6
therefor_be	0	0.166666666666667	6
row	0	0.166666666666667	12
can_no	0	0.166666666666667	6
far_from	0	0.166666666666667	18
reveal_that	0	0.166666666666667	12
have_never	0	0.153846153846154	26
would_not	0.024390243902439	0.170731707317073	82
he_have_no	0	0.142857142857143	7
fend_off	0	0.142857142857143	7
fend	0	0.142857142857143	7
but_there_be	0	0.142857142857143	14
not_with	0	0.142857142857143	7
be_consid_as	0	0.142857142857143	7
can_do	0	0.142857142857143	14
mai_not_be	0	0.142857142857143	7
have_never_been	0	0.142857142857143	7
with_all_the	0	0.125	8
not_prison	0	0.125	8
be_not_yet	0	0.125	8
do_not_see	0	0.125	8
it_can_be	0.125	0.25	8
not_prison_of	0	0.125	8
we_don't	0	0.125	24
have_turn	0	0.125	8
strongli	0	0.125	24
but_becaus	0	0.125	8
but_there	0	0.125	16
declin_to	0	0.12	25
given_the	0	0.12	25
could_not	0	0.119047619047619	42
no_on	0.0784313725490196	0.196078431372549	51
understand_that	0	0.117647058823529	17
will_not	0	0.116071428571429	112
can_never	0	0.111111111111111	9
wouldn't	0.0555555555555556	0.166666666666667	18
declar_that_the	0	0.111111111111111	9
be_turn	0	0.111111111111111	9
reject_of	0	0.111111111111111	9
judg_by	0	0.111111111111111	9
be_not	0.0204081632653061	0.130612244897959	490
but_be	0	0.105263157894737	19
aren't	0	0.1	20
there_would_be	0	0.1	10
there_would	0	0.1	10
do_not	0.0167865707434053	0.112709832134293	417
there_will	0	0.0952380952380952	21
the_peopl_who	0.0909090909090909	0.181818181818182	11
object_to	0	0.0909090909090909	22
differ_between	0	0.0909090909090909	11
have_not_been	0	0.0888888888888889	45
but_have	0	0.0833333333333333	12
switch	0	0.0833333333333333	12
contrari_to	0	0.0833333333333333	12
repeat	0	0.08	25
but_we	0	0.0769230769230769	39
haven't	0	0.0769230769230769	13
now_that	0	0.0769230769230769	13
hard_to	0	0.0769230769230769	26
do_not_have	0.025	0.1	40
don't	0.00873362445414847	0.0829694323144105	229
not_enough	0	0.0714285714285714	14
be_declar	0	0.0666666666666667	15
no_longer	0	0.0645161290322581	31
solut_to	0	0.0588235294117647	17
not_go_to	0	0.0588235294117647	17
have_no	0.0227272727272727	0.0795454545454545	88
let'	0	0.0555555555555556	18
other_than	0	0.0555555555555556	18
have_long	0	0.0555555555555556	18
not_go	0	0.0526315789473684	19
the_largest	0	0.0526315789473684	19
will_not_be	0	0.0512820512820513	39
issu_a	0	0.05	20
nor	0	0.0483870967741935	62
if_it_be	0	0.0476190476190476	21
be_do	0	0.0476190476190476	21
posit_of	0	0.0476190476190476	21
be_not_the	0.0454545454545455	0.0909090909090909	22
there_have_been	0	0.0454545454545455	22
the_climat	0	0.0454545454545455	44
declar_that	0	0.0434782608695652	23
do	0.00722394220846233	0.0505675954592363	969
subsequ	0	0.0416666666666667	24
in_term_of	0	0.0416666666666667	24
in_term	0	0.04	25
it_be_not	0.02	0.06	50
no	0.00958466453674121	0.0479233226837061	626
be_no	0	0.0375	160
with_all	0	0.037037037037037	27
t	0	0.0357142857142857	84
if_we	0.0357142857142857	0.0714285714285714	28
found	0	0.0357142857142857	84
there_have	0	0.0344827586206897	29
clear_that	0	0.0344827586206897	29
fail_to	0	0.0338983050847458	59
have_not	0.0263157894736842	0.0592105263157895	152
although_the	0	0.03125	32
lack_of	0	0.0294117647058824	34
when_thei	0	0.0277777777777778	36
it_would_be	0.138888888888889	0.166666666666667	36
noth	0	0.0273972602739726	73
doesn't	0.0540540540540541	0.0810810810810811	37
neither	0	0.0256410256410256	39
given	0	0.0256410256410256	117
despit_the	0.025	0.05	40
not_the	0	0.0232558139534884	43
it_can	0.0227272727272727	0.0454545454545455	44
declar	0	0.0214285714285714	140
solut	0	0.02	50
far	0	0.0197368421052632	152
it_would	0.058252427184466	0.0776699029126214	103
life	0	0.0178571428571429	112
didn't	0	0.0178571428571429	56
he_would	0	0.0175438596491228	57
judg	0	0.0172413793103448	58
term	0	0.0163934426229508	122
find	0	0.016260162601626	123
left	0	0.00952380952380952	105
never	0.0181818181818182	0.0272727272727273	110
he_have	0	0.0078740157480315	127
the_peopl	0.00735294117647059	0.0147058823529412	136
but_the	0.0225988700564972	0.0282485875706215	177
turn	0.0164835164835165	0.021978021978022	182
not	0.00105876124933827	0.00635256749602965	1889
issu	0	0.00226757369614512	441
other	0	0.00130378096479791	767
he	0.00056274620146314	0.00112549240292628	1777
the_onli_famili	0	0	1
proven	0	0	4
be_a_fascin	0	0	1
ooh	0	0	2
the_pay-off_begin	0	0	1
begin_with	0	0	9
critic_thei_have	0	0	1
how_have	0	0	2
categor_moral	0	0	1
certain_apathi	0	0	1
categor_moral_condemn	0	0	1
come_a_long	0	0	2
more_than	0	0	193
arrog_power	0	0	1
a_bonu_point	0	0	1
would_probabl_know	0	0	1
sound_the	0	0	4
wonder_whether	0	0	4
promot_strongli	0	0	2
took_pain_to	0	0	1
spirit_of	0	0	14
took_pain	0	0	1
onli_empti_rhetor	0	0	2
crush_human_right	0	0	2
have_also_seen	0	0	2
be_lock_in	0	0	3
been_pick_on	0	0	1
deliv_further_critic	0	0	2
unlik_to	0	0	6
inde_after_all	0	0	2
vow_to_kill	0	0	2
have_provok_concern	0	0	1
categor	0	0	10
accus_pakistan	0	0	1
wait	0	0	81
iran_iraq	0	0	33
appetit	0	0	2
decis_to_ratifi	0	0	4
the_econom	0	0	30
have_onc_been	0	0	1
not_commit_itself	0	0	3
k	0	0	10
have_relentlessli_demonstr	0	0	1
support_by	0	0	16
have_been_demand	0	0	2
found_littl	0	0	3
the_continu_us	0	0	1
be_seek	0	0	14
what_a	0	0	6
have_vow_to	0	0	4
have_commit_itself	0	0	1
realli_up	0	0	1
be_satisfi_with	0	0	2
be_critic_of	0	0	8
share	0	0	326
the_posit_effect	0	0	2
taken_to	0	0	22
the_enemi_be	0	0	1
without_be_compound	0	0	1
even_less_than	0	0	2
verbal	0	0	9
feel_a	0	0	1
have_rile	0	0	1
and_when	0	0	23
but_no_one--includ	0	0	2
can_actual	0	0	2
will_rise_against	0	0	1
so_try	0	0	1
be_good	0	0	14
reflect_tendenc	0	0	2
ask_anyon_for	0	0	2
further_critic	0	0	3
will_probabl_mean	0	0	1
invit_powel	0	0	2
have_complain_that	0	0	1
have_never_forgotten	0	0	1
at_on_time	0	0	4
the_human_commun	0	0	2
employ	0	0	20
as_for_the	0	0	17
ralli_around	0	0	2
grew_so	0	0	1
be_deter	0	0	2
be_uncalled-for	0	0	2
in_protest	0	0	5
the_scath_kesa	0	0	2
would_support_wholeheartedli	0	0	1
nobodi_ever	0	0	1
stymi_stop	0	0	1
tri_to_destroi	0	0	1
why_don't_i	0	0	2
stress_that_disastr	0	0	1
the_decis	0	0	46
devast_what_remain	0	0	1
peddl_product_if	0	0	1
express_satisfact_over	0	0	1
a_dysfunct_space	0	0	1
todai_at_the	0	0	1
concern_that_iraq	0	0	1
call_upon	0	0	1
deep_wound	0	0	2
breath	0	0	6
advanc_nation_be	0	0	1
damn_report	0	0	2
it'_fun	0	0	1
the_us_judgment	0	0	2
publicli_condemn	0	0	1
be_deem_damag	0	0	1
be_harsh	0	0	2
agre_to_suspend	0	0	2
be_keep_a	0	0	2
real_solut	0	0	1
the_shortcom	0	0	2
y	0	0	23
go_to	0	0	155
barbarian_who_onli	0	0	1
fortun_support	0	0	2
have_file_a	0	0	1
smoothli	0	0	7
the_get-out-of-jail_escap	0	0	1
describ_the_poll	0	0	9
have_been_rather	0	0	2
convinc_the_unit	0	0	2
deliv_further	0	0	2
offer_hope	0	0	1
anxieti_aris_howev	0	0	1
like_shut	0	0	2
will_help_even	0	0	1
deliber_too_long	0	0	1
call_itself_the	0	0	1
help_insur	0	0	1
sap_the	0	0	1
undivid_support	0	0	1
be_you	0	0	16
struggl_to_defend	0	0	2
be_also_expect	0	0	2
keep_prison_incommunicado	0	0	2
have_a_doubl	0	0	2
i'm	0	0	69
don't_ask_me	0	0	1
ad_to_the	0	0	2
must_be_ban	0	0	2
expect_we_be	0	0	2
a_limp	0	0	1
fudg_hi_repli	0	0	2
express_discont_with	0	0	2
gangster	0	0	9
our_40-billion	0	0	2
commit_to	0	0	72
stage_a_protest	0	0	2
remain_optimist	0	0	2
we_have_roughli	0	0	1
which_in_light	0	0	1
could_have_devast	0	0	2
in_addit_he	0	0	1
why_these	0	0	1
warn_against	0	0	4
russia'_agricultur	0	0	2
but_after	0	0	10
could_bring_about	0	0	3
be_unlik	0	0	9
found_littl_to	0	0	2
us_more_demagogi	0	0	2
entail_the_massiv	0	0	1
the_intimid	0	0	1
interplai_between	0	0	1
the_polit_strong	0	0	2
be_plai_an	0	0	1
without_the	0	0	17
the_detaine	0	0	91
set	0	0	190
a_movement	0	0	6
ascrib_human_characterist	0	0	1
met	0	0	55
when_italian	0	0	1
could_creat_the	0	0	2
have_launch_a	0	0	2
sheik_rida_fear	0	0	1
be_deem	0.333333333333333	0.333333333333333	6
an_import	0	0	34
the_stanc	0	0	2
all_be_not	0	0	1
be_shoot_at	0	0	2
have_struck_innoc	0	0	1
pleas_with	0	0	3
have_violat	0	0	8
unfortun_those	0	0	1
might_have	0	0	14
have_abandon_ani	0	0	2
so-cal_intellig	0	0	2
given_ani_commit	0	0	2
firm_resolv	0	0	1
greatest_accomplish	0	0	1
care_for	0	0	13
all_but	0	0	5
might_be_the	0	0	1
furrow-brow	0	0	1
goal_be	0	0	9
like_to	0	0	72
such_humanitarian	0	0	1
give_up_in	0	0	1
want_to_leav	0	0	1
inde_that	0	0	3
even_the_most	0	0	2
the_countri_of	0	0	7
just_uh	0	0	1
to_tighten	0	0	3
boi_it	0	0	1
appreci_continu	0	0	2
took_part	0	0	7
the_empti_of	0	0	2
promis_a	0	0	3
leav_the_prison	0	0	1
the_good	0	0	16
pressur_from_it	0	0	1
said_it_hold	0	0	1
be_seriou	0	0	6
thu_no_longer	0	0	2
strongli_call_on	0	0	1
what_will_happen	0	0	7
eager_for	0	0	2
by_support_sharon'	0	0	1
germani_be_readi	0	0	1
in_true_newspap	0	0	1
shift_onto	0	0	2
it_right_abus	0	0	2
accus_the_four	0	0	2
be_deal_with	0	0	8
be_stun	0	0	1
whatev_that	0	0	1
set_prioriti	0	0	3
be_open_the	0	0	2
testimoni_of_the	0	0	5
ask_anyon	0	0	3
should_we_be	0	0	2
the_dai	0	0	25
an_extraordinarili	0	0	1
pass_the	0	0	10
have_been_critic	0	0	3
famou_wrongdoer_e	0	0	1
veri_frighten	0	0	2
be_stick	0	0	2
though_mr	0	0	3
a_stun_blow	0	0	2
be_design	0	0	18
the_present	0	0	22
don't_like	0	0	5
